order_id,customer_id,order_date,status,payment_method,shipping_cost,region
127,188.0,2025-10-27 10:22:34,CANCELLED,UPI,165.15,North
128,421.0,2025-09-19 16:28:23,PLACED,CARD,177.87,South
129,241.0,2025-01-05 00:52:17,CANCELLED,COD,124.65,North
130,498.0,2025-09-29 18:20:32,DELIVERED,COD,200.71,North
131,248.0,2026-03-08 13:12:09,SHIPPED,NETBANKING,47.51,West
132,470.0,2026-07-10 15:31:26,RETURNED,COD,45.78,North
133,398.0,2024-09-24 23:58:34,RETURNED,COD,145.5,North
134,117.0,2025-06-06 11:55:15,RETURNED,UPI,114.95,East
135,469.0,2026-01-06 05:10:36,CANCELLED,CARD,121.37,North
136,41.0,2025-07-28 22:38:25,PLACED,CARD,205.94,North
137,187.0,2025-07-26 01:23:32,DELIVERED,NETBANKING,112.67,East
139,215.0,2026-04-08 12:34:58,PLACED,CARD,156.31,West
140,330.0,2025-01-30 23:43:19,SHIPPED,UPI,158.31,East
141,33.0,2024-10-11 20:19:48,DELIVERED,COD,162.29,West
142,387.0,2024-08-10 15:38:57,SHIPPED,COD,102.86,North
143,63.0,2026-03-05 16:18:02,RETURNED,COD,91.26,West
144,412.0,2025-07-28 02:13:31,SHIPPED,COD,43.24,East
145,310.0,2026-05-14 23:59:37,PLACED,COD,106.48,South
146,168.0,2024-08-29 06:04:58,CANCELLED,NETBANKING,163.05,West
147,259.0,2024-01-11 08:38:39,RETURNED,UPI,105.41,West
148,12.0,2025-07-29 16:15:55,RETURNED,NETBANKING,120.59,West
149,227.0,2024-12-22 00:03:15,RETURNED,CARD,92.68,East
150,274.0,2025-08-04 11:30:50,SHIPPED,COD,48.29,West
151,448.0,2026-07-01 17:39:09,DELIVERED,UPI,42.88,East
152,429.0,2025-11-01 11:00:13,SHIPPED,NETBANKING,186.41,East
153,380.0,2024-07-27 20:01:44,SHIPPED,UPI,84.17,West
154,31.0,2025-09-18 22:20:32,SHIPPED,COD,90.74,East
155,359.0,2025-08-11 03:01:34,RETURNED,NETBANKING,153.95,East
156,330.0,2025-04-27 06:07:09,RETURNED,UPI,123.81,North
157,26.0,2025-01-25 07:48:38,RETURNED,COD,195.73,South
158,62.0,2025-09-26 12:51:01,CANCELLED,UPI,240.02,East
159,151.0,2025-09-13 12:50:35,PLACED,NETBANKING,78.15,West
160,337.0,2026-04-01 13:02:52,RETURNED,COD,198.04,South
161,203.0,2024-10-07 16:26:30,CANCELLED,CARD,81.97,North
162,39.0,2026-04-08 22:44:28,PLACED,NETBANKING,83.28,South
163,,2025-02-26 03:05:00,CANCELLED,CARD,103.84,South
164,389.0,2025-07-22 15:32:33,DELIVERED,UPI,224.95,West
165,69.0,2025-04-01 16:29:42,SHIPPED,COD,146.36,South
166,319.0,2025-02-25 13:17:10,DELIVERED,UPI,226.32,West
167,19.0,2026-07-11 06:15:37,CANCELLED,COD,203.52,West
168,176.0,2025-02-25 22:57:14,CANCELLED,NETBANKING,148.84,North
169,349.0,2024-12-21 18:19:13,PLACED,CARD,90.89,South
170,376.0,2025-04-08 21:08:33,PLACED,COD,118.38,East
171,263.0,2025-04-14 16:27:12,DELIVERED,CARD,127.61,South
172,167.0,2025-08-20 23:16:11,SHIPPED,CARD,82.19,West
173,1.0,2024-11-09 11:00:11,CANCELLED,COD,155.03,West
174,34.0,2025-04-26 02:08:58,SHIPPED,CARD,122.18,East
175,257.0,2024-10-12 20:30:03,RETURNED,UPI,106.39,South
176,446.0,2025-12-19 13:14:21,CANCELLED,UPI,247.91,South
177,132.0,2025-12-28 12:51:57,DELIVERED,CARD,79.19,East
178,,2025-12-24 22:38:26,DELIVERED,COD,112.84,South
179,485.0,2025-03-21 02:17:56,SHIPPED,UPI,62.92,South
180,258.0,2026-01-23 14:50:46,PLACED,COD,127.43,East
181,381.0,2025-06-03 19:57:05,SHIPPED,UPI,139.85,South
182,132.0,2025-03-23 06:02:17,DELIVERED,UPI,106.4,South
183,464.0,2026-06-14 13:39:14,RETURNED,UPI,194.36,South
184,30.0,2026-06-29 06:32:25,RETURNED,UPI,185.64,North
185,227.0,2025-12-05 06:24:57,SHIPPED,NETBANKING,249.43,West
186,208.0,2025-12-22 15:08:45,CANCELLED,COD,80.61,West
187,225.0,2026-06-15 12:24:05,DELIVERED,UPI,134.9,South
188,494.0,2024-08-21 05:11:02,SHIPPED,UPI,107.97,East
189,447.0,2024-12-19 05:53:25,SHIPPED,NETBANKING,63.63,North
190,336.0,2026-03-01 05:35:38,SHIPPED,UPI,203.08,South
191,473.0,2026-03-21 15:41:17,DELIVERED,UPI,43.02,North
192,478.0,2024-08-16 10:11:31,PLACED,UPI,95.99,West
193,447.0,2026-02-12 00:28:07,CANCELLED,CARD,94.99,South
194,20.0,2025-01-24 17:56:01,DELIVERED,UPI,188.01,East
195,28.0,2025-06-19 19:49:06,CANCELLED,NETBANKING,120.21,East
196,16.0,2024-10-16 07:36:57,CANCELLED,COD,204.13,South
197,478.0,2026-07-12 20:37:27,PLACED,CARD,45.73,South
198,61.0,2024-12-31 01:16:47,RETURNED,UPI,64.56,East
199,452.0,2025-04-30 08:31:24,PLACED,COD,171.94,South
200,31.0,2025-08-23 04:45:40,CANCELLED,COD,224.26,North
201,279.0,2025-06-06 05:02:09,DELIVERED,COD,220.82,South
202,223.0,2025-06-18 09:09:47,SHIPPED,UPI,86.92,West
203,105.0,2026-04-16 22:07:59,CANCELLED,UPI,132.37,South
204,,2024-11-25 20:23:39,PLACED,NETBANKING,60.2,West
205,186.0,2024-10-29 11:14:42,DELIVERED,COD,88.19,North
206,4.0,2024-09-02 12:27:37,SHIPPED,NETBANKING,225.33,East
207,318.0,2026-01-02 20:07:02,PLACED,NETBANKING,62.47,East
208,238.0,2025-09-27 01:51:20,SHIPPED,UPI,93.09,South
209,52.0,2025-04-15 19:07:28,CANCELLED,COD,197.22,West
210,196.0,2025-10-27 11:02:39,CANCELLED,UPI,109.86,East
211,149.0,2025-08-02 03:31:17,SHIPPED,NETBANKING,141.08,South
212,138.0,2024-08-10 11:04:17,PLACED,UPI,143.1,East
213,128.0,2026-04-18 06:01:07,DELIVERED,CARD,197.43,East
214,176.0,2024-12-01 11:20:51,DELIVERED,COD,198.0,South
215,287.0,2025-03-04 03:01:04,RETURNED,NETBANKING,220.49,North
216,202.0,2025-06-26 02:01:55,DELIVERED,COD,203.16,East
217,24.0,2026-05-26 07:06:29,CANCELLED,NETBANKING,166.28,East
218,394.0,2024-12-29 17:43:18,SHIPPED,COD,111.46,North
219,277.0,2026-06-23 14:56:15,SHIPPED,COD,111.68,East
220,481.0,2025-06-02 08:21:03,CANCELLED,CARD,199.06,East
221,240.0,2025-10-04 02:16:18,RETURNED,UPI,205.08,South
222,236.0,2025-11-19 08:56:13,SHIPPED,CARD,193.99,South
223,215.0,2025-10-06 07:16:30,CANCELLED,NETBANKING,203.5,East
224,54.0,2025-03-07 13:51:57,PLACED,UPI,63.37,East
225,377.0,2024-08-01 03:28:07,PLACED,CARD,138.83,North
226,414.0,2025-07-09 23:12:55,RETURNED,CARD,187.67,North
227,309.0,2026-01-23 20:22:12,DELIVERED,CARD,75.81,West
228,349.0,2026-07-04 23:06:42,DELIVERED,NETBANKING,164.71,West
229,414.0,2026-06-24 04:29:28,DELIVERED,NETBANKING,227.11,South
230,498.0,2025-03-03 00:44:34,PLACED,CARD,124.75,South
231,360.0,2026-04-05 07:14:14,SHIPPED,UPI,104.29,West
232,347.0,2026-05-09 10:53:11,RETURNED,COD,93.23,West
233,49.0,2025-10-09 14:18:40,RETURNED,UPI,61.44,North
234,18.0,2024-10-03 06:10:23,PLACED,UPI,224.2,West
235,136.0,2026-01-19 17:43:05,CANCELLED,CARD,248.36,West
236,215.0,2025-01-17 17:47:51,DELIVERED,CARD,90.38,South
237,210.0,2025-12-20 08:45:52,DELIVERED,COD,131.75,West
238,,2024-10-06 12:03:09,DELIVERED,CARD,53.62,North
239,31.0,2025-09-16 12:30:30,SHIPPED,COD,198.4,West
240,153.0,2026-06-14 00:35:21,SHIPPED,COD,213.23,South
241,80.0,2024-09-15 06:02:56,CANCELLED,COD,249.03,West
242,381.0,2024-09-27 14:15:43,DELIVERED,CARD,232.76,East
243,468.0,2024-08-06 05:48:07,PLACED,NETBANKING,170.18,South
244,20.0,2024-09-15 05:37:05,PLACED,UPI,91.1,West
245,296.0,2024-10-17 23:10:19,SHIPPED,NETBANKING,131.51,West
246,76.0,2024-08-15 21:47:42,DELIVERED,COD,203.85,South
247,384.0,2025-11-21 07:47:28,PLACED,NETBANKING,157.37,North
248,467.0,2025-06-04 10:48:51,CANCELLED,UPI,103.31,East
249,452.0,2026-04-16 02:15:29,PLACED,NETBANKING,64.68,North
250,163.0,2025-12-24 04:53:40,DELIVERED,UPI,245.93,East
251,96.0,2024-08-30 17:36:27,DELIVERED,COD,207.9,North
252,340.0,2025-12-08 03:53:55,RETURNED,COD,210.64,South
253,454.0,2024-11-07 19:07:22,PLACED,CARD,180.14,East
254,205.0,2025-05-27 16:18:34,CANCELLED,CARD,93.12,South
255,487.0,2024-10-27 21:22:14,CANCELLED,COD,49.11,North
256,76.0,2025-08-27 07:23:59,PLACED,COD,70.11,West
257,259.0,2025-09-24 23:46:03,RETURNED,UPI,167.04,South
258,245.0,2024-07-28 20:06:18,CANCELLED,UPI,139.03,West
259,336.0,2026-03-09 17:56:04,SHIPPED,CARD,122.88,South
260,451.0,2025-12-28 02:42:50,SHIPPED,UPI,85.41,South
261,407.0,2025-04-14 20:28:41,SHIPPED,UPI,161.96,East
262,112.0,2024-11-27 12:57:13,PLACED,CARD,162.12,South
263,51.0,2025-02-26 11:23:58,DELIVERED,UPI,58.82,West
264,389.0,2025-10-03 17:22:24,CANCELLED,CARD,132.01,North
265,315.0,2024-12-06 03:00:53,CANCELLED,COD,234.22,North
266,255.0,2025-04-17 10:16:18,RETURNED,COD,219.34,North
267,273.0,2025-10-28 04:03:42,SHIPPED,COD,224.85,East
268,92.0,2024-07-15 07:05:12,PLACED,UPI,194.08,West
269,285.0,2025-10-06 21:42:27,PLACED,UPI,44.8,West
270,303.0,2024-10-05 20:35:52,CANCELLED,NETBANKING,240.51,West
271,238.0,2025-05-31 17:37:14,PLACED,NETBANKING,216.11,East
272,,2025-05-25 17:33:43,CANCELLED,COD,73.84,East
273,281.0,2025-07-17 21:58:19,RETURNED,CARD,165.69,East
274,97.0,2025-03-15 17:18:40,CANCELLED,NETBANKING,169.89,East
275,126.0,2025-12-26 04:07:40,SHIPPED,COD,229.72,East
276,353.0,2025-02-19 20:04:43,PLACED,UPI,203.74,North
277,128.0,2025-06-23 09:49:31,RETURNED,CARD,72.49,East
278,32.0,2025-06-28 20:52:48,SHIPPED,CARD,157.03,North
279,322.0,2025-09-27 09:51:38,PLACED,CARD,87.77,West
280,341.0,2026-06-08 07:06:07,DELIVERED,NETBANKING,238.96,East
281,458.0,2025-12-17 08:44:59,CANCELLED,CARD,64.66,West
282,329.0,2025-03-05 17:31:26,CANCELLED,NETBANKING,62.17,South
283,152.0,2026-05-13 23:35:54,SHIPPED,COD,59.71,South
284,360.0,2024-12-05 19:10:04,RETURNED,UPI,85.95,South
285,433.0,2025-06-24 08:01:37,CANCELLED,UPI,52.94,North
286,285.0,2024-10-20 03:03:27,PLACED,NETBANKING,93.5,East
287,479.0,2024-07-19 20:06:32,SHIPPED,UPI,206.85,East
288,260.0,2024-12-14 04:09:15,RETURNED,CARD,0.0,West
289,165.0,2024-09-24 02:13:52,DELIVERED,NETBANKING,180.84,East
290,245.0,2024-10-08 14:33:50,RETURNED,CARD,188.29,East
291,290.0,2025-07-14 18:38:55,SHIPPED,NETBANKING,53.38,South
292,348.0,2024-07-21 18:11:07,DELIVERED,NETBANKING,68.33,West
293,399.0,2025-10-23 21:16:49,RETURNED,UPI,114.69,West
294,9.0,2025-04-17 16:10:17,CANCELLED,UPI,152.8,South
295,322.0,2025-08-08 12:50:53,PLACED,CARD,139.35,North
296,301.0,2025-10-08 13:50:27,DELIVERED,CARD,235.75,South
297,283.0,2025-08-24 17:55:58,RETURNED,UPI,179.96,North
298,437.0,2026-02-25 11:34:36,RETURNED,COD,113.43,East
299,462.0,2025-06-29 12:39:57,PLACED,UPI,42.05,East
300,163.0,2025-11-27 15:10:34,CANCELLED,NETBANKING,124.78,East
301,32.0,2026-02-09 16:35:42,DELIVERED,NETBANKING,232.7,East
302,233.0,2026-01-17 13:03:31,PLACED,CARD,117.06,East
303,177.0,2024-11-21 09:49:31,DELIVERED,UPI,42.58,East
304,158.0,2025-11-04 01:14:05,CANCELLED,UPI,171.05,North
305,300.0,2026-03-24 13:28:54,CANCELLED,COD,130.85,North
306,347.0,2025-09-13 09:43:59,SHIPPED,UPI,0.0,South
307,493.0,2025-04-06 23:50:37,DELIVERED,CARD,196.88,West
308,152.0,2026-04-22 19:22:56,CANCELLED,NETBANKING,182.36,West
309,260.0,2026-05-01 17:24:59,SHIPPED,UPI,225.8,East
310,268.0,2025-08-17 01:26:51,CANCELLED,COD,244.63,North
311,448.0,2025-04-19 14:05:01,RETURNED,NETBANKING,46.56,East
312,98.0,2024-08-05 03:08:56,SHIPPED,CARD,175.57,East
313,53.0,2025-06-18 15:25:50,DELIVERED,CARD,88.01,North
314,368.0,2025-06-04 14:47:30,RETURNED,COD,111.09,South
315,77.0,2024-09-22 12:20:57,SHIPPED,CARD,77.37,East
316,307.0,2026-06-02 09:46:34,SHIPPED,NETBANKING,50.21,North
317,276.0,2024-08-20 10:59:40,RETURNED,NETBANKING,72.93,East
318,378.0,2025-09-14 03:58:18,CANCELLED,COD,220.25,North
319,,2026-03-16 18:27:14,DELIVERED,COD,54.7,East
320,85.0,2026-01-25 16:23:04,CANCELLED,UPI,164.95,North
321,430.0,2026-02-05 08:05:56,PLACED,CARD,230.57,West
322,135.0,2024-12-18 19:51:55,DELIVERED,CARD,244.4,East
323,150.0,2025-10-02 22:12:41,RETURNED,CARD,155.43,North
324,351.0,2025-11-19 05:04:24,SHIPPED,CARD,161.88,West
325,384.0,2025-05-17 13:00:44,PLACED,CARD,141.73,West
326,7.0,2025-09-09 12:07:23,SHIPPED,CARD,125.09,East
327,471.0,2025-04-02 18:58:26,PLACED,COD,102.68,South
328,424.0,2025-10-21 21:47:25,CANCELLED,NETBANKING,249.62,North
329,415.0,2025-04-15 12:00:12,DELIVERED,NETBANKING,86.89,North
330,71.0,2026-01-25 10:26:31,DELIVERED,NETBANKING,110.83,South
331,459.0,2025-04-16 21:36:23,PLACED,COD,193.86,North
332,268.0,2026-02-04 11:46:39,RETURNED,UPI,76.5,West
333,289.0,2026-04-25 10:06:45,PLACED,NETBANKING,101.75,East
334,232.0,2025-02-14 04:52:44,RETURNED,CARD,110.75,North
336,137.0,2024-09-18 07:46:59,PLACED,COD,91.34,North
338,265.0,2025-12-08 12:59:03,CANCELLED,NETBANKING,220.19,West
340,40.0,2026-01-05 01:50:18,RETURNED,COD,172.25,South
341,268.0,2026-07-09 11:30:57,RETURNED,COD,185.81,West
342,,2026-04-22 00:08:12,RETURNED,COD,78.72,South
343,320.0,2025-10-13 06:00:48,DELIVERED,UPI,216.32,West
344,39.0,2026-07-14 08:21:50,CANCELLED,UPI,225.81,South
345,219.0,2025-03-07 02:13:45,DELIVERED,CARD,100.55,North
346,,2024-09-07 12:40:12,RETURNED,NETBANKING,48.77,East
347,240.0,2026-03-12 21:53:22,CANCELLED,UPI,214.52,East
348,135.0,2025-03-06 06:11:12,RETURNED,CARD,243.53,North
349,36.0,2025-05-15 02:12:48,SHIPPED,COD,82.89,East
350,382.0,2025-03-16 11:21:19,CANCELLED,UPI,187.65,West
351,222.0,2025-01-07 19:53:42,SHIPPED,CARD,154.97,North
352,174.0,2025-11-08 13:37:54,PLACED,NETBANKING,243.0,South
353,154.0,2025-01-12 22:58:37,SHIPPED,COD,244.68,East
354,117.0,2025-01-31 10:07:25,PLACED,COD,143.69,West
355,48.0,2024-07-20 19:36:42,CANCELLED,UPI,132.39,South
356,48.0,2026-01-26 00:39:33,DELIVERED,NETBANKING,124.03,North
357,241.0,2024-11-18 13:34:28,PLACED,UPI,181.11,West
358,380.0,2025-08-01 02:50:29,DELIVERED,NETBANKING,158.99,East
359,145.0,2026-05-16 06:30:36,PLACED,NETBANKING,223.78,West
360,298.0,2025-11-26 20:37:38,RETURNED,NETBANKING,52.62,East
361,8.0,2025-06-14 22:34:48,PLACED,CARD,172.82,North
362,77.0,2025-05-08 01:38:50,SHIPPED,NETBANKING,138.67,East
363,481.0,2025-01-28 13:02:06,DELIVERED,UPI,103.69,North
364,225.0,2026-05-19 06:23:03,DELIVERED,COD,49.52,South
366,116.0,2025-07-19 16:16:45,SHIPPED,NETBANKING,146.18,South
367,4.0,2025-08-09 02:35:10,PLACED,CARD,201.22,North
368,121.0,2024-08-03 14:33:05,DELIVERED,UPI,162.46,East
369,191.0,2024-08-23 09:48:48,SHIPPED,CARD,129.16,West
370,486.0,2026-04-03 05:40:19,PLACED,CARD,56.2,East
371,82.0,2025-04-16 18:31:27,CANCELLED,UPI,141.82,East
372,399.0,2025-01-02 12:18:09,CANCELLED,NETBANKING,41.44,East
374,17.0,2025-08-10 18:46:44,RETURNED,NETBANKING,148.01,East
375,467.0,2026-04-04 17:33:48,CANCELLED,UPI,78.43,West
376,131.0,2026-04-01 18:30:08,CANCELLED,UPI,180.25,East
377,,2025-10-21 01:53:36,PLACED,CARD,90.3,North
378,419.0,2025-11-25 19:34:32,DELIVERED,UPI,180.85,South
379,427.0,2024-10-25 05:33:39,PLACED,CARD,64.66,East
380,103.0,2025-04-22 20:14:22,PLACED,NETBANKING,166.62,East
381,151.0,2025-02-21 19:43:39,SHIPPED,NETBANKING,148.6,North
382,7.0,2025-01-19 14:44:12,SHIPPED,COD,99.21,South
383,81.0,2026-04-26 19:05:36,SHIPPED,UPI,245.0,North
384,383.0,2026-02-15 01:38:20,CANCELLED,NETBANKING,93.16,East
385,265.0,2024-11-24 22:12:41,CANCELLED,NETBANKING,151.22,North
386,471.0,2025-06-01 07:40:17,CANCELLED,NETBANKING,182.81,West
387,159.0,2026-06-17 14:15:50,SHIPPED,NETBANKING,66.07,East
388,443.0,2024-10-22 05:27:18,PLACED,NETBANKING,140.31,West
389,205.0,2025-10-08 07:39:16,CANCELLED,CARD,100.38,North
390,,2025-07-25 07:37:55,SHIPPED,CARD,208.51,East
391,389.0,2025-06-05 12:17:04,SHIPPED,UPI,200.58,West
392,297.0,2025-06-20 19:13:41,CANCELLED,CARD,189.9,West
393,23.0,2024-10-20 08:04:52,CANCELLED,NETBANKING,236.54,East
394,250.0,2025-03-25 11:36:46,SHIPPED,COD,218.03,North
395,164.0,2025-08-22 10:01:20,DELIVERED,UPI,112.6,North
396,156.0,2026-06-09 20:40:04,PLACED,NETBANKING,54.66,South
397,2.0,2024-07-28 14:23:44,DELIVERED,COD,167.38,North
398,209.0,2025-11-30 04:54:08,SHIPPED,NETBANKING,84.22,South
399,418.0,2024-11-14 05:57:43,DELIVERED,NETBANKING,69.65,West
